Run,Seed,Mission Incentive Weight,Reward Regime,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Contested Auction Rounds,Unresolved Auction Rounds,Contracts Awarded,Contract Memberships,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Tasks Completed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Size,Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Current Links,Mean Network Degree,Network Density,Isolated Robots,Information Transmissions,Unique Information Acquisitions,Information Coverage (%),Information Redundancy,Mean Reputation,Competitive Robots,Cooperative Robots,Balanced Robots,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
31,8,0.25,mission-aligned,278,28,2,93.33333333333333,93.33333333333333,63.283352556708955,16,14,12,2307,238,778,33,66,5,795,17,12,70.58823529411765,2.138364779874214,2.9166666666666665,58,3362.418599517019,4203.023249396274,840.6046498792548,0.32582694377331856,0.3313131313131312,40.273893406111746,9,1.2,0.08571428571428572,5,443,413,100,0.06772009029345373,0.5005567828614611,7,5,3,46,126.78571428571429,0.8068729289609737,647.2219736593128,1625.2536863973246,0,2,0,0,True,1.1368683772161603e-12,9.094947017729282e-13,True,True
32,8,0.5,mission-aligned,278,27,3,90,93.10344827586206,61.86082276047674,16,14,12,2267,210,582,32,65,5,599,17,12,70.58823529411765,2.8380634390651087,2.9166666666666665,52.07692307692308,3282.248726135876,4923.373089203815,1641.124363067938,0.35646612250688103,0.3630769230769231,43.99885673543174,6,0.8,0.05714285714285714,8,455,401,96.66666666666667,0.11868131868131868,0.501104184834903,7,3,5,51,123.18518518518519,0.8348486269867376,659.54952890402,1612.926131152618,1,1,0,1,True,2.2737367544323206e-13,0,True,True
33,9,0,mission-aligned,220,29,1,96.66666666666667,100,52.24913494809689,16,14,13,392,20,184,31,55,2,199,15,13,86.66666666666667,7.5376884422110555,2.5384615384615383,32.76923076923077,3494.7832458140083,3494.7832458140083,0,0.2810702168864847,0.20606060606060606,33.703963384310626,9,1.2,0.08571428571428572,2,441,394,94.88888888888889,0.10657596371882086,0.5058681486195747,4,5,6,46,35.6551724137931,2.2947715427457758,535.9329720693571,1671.1095543159015,1,0,0,0,True,2.2737367544323206e-13,4.547473508864641e-13,True,True
34,9,0.1,mission-aligned,220,29,1,96.66666666666667,100,52.24913494809689,16,14,13,392,20,184,31,55,2,199,15,13,86.66666666666667,7.5376884422110555,2.5384615384615383,32.76923076923077,3494.7832458140083,3844.2615703954098,349.478324581401,0.28107021688648426,0.20606060606060606,33.703963384310626,9,1.2,0.08571428571428572,2,441,394,94.88888888888889,0.10657596371882086,0.5058681486195747,4,5,6,46,35.6551724137931,2.2947715427457758,535.9329720693571,1671.1095543159015,1,0,0,0,True,2.2737367544323206e-13,0,True,True
35,9,0.25,mission-aligned,220,29,1,96.66666666666667,100,52.24913494809689,16,14,13,392,20,184,31,55,2,199,15,13,86.66666666666667,7.5376884422110555,2.5384615384615383,32.76923076923077,3494.7832458140083,4368.47905726751,873.6958114535021,0.2810702168864845,0.20606060606060606,33.703963384310626,9,1.2,0.08571428571428572,2,441,394,94.88888888888889,0.10657596371882086,0.5058681486195747,4,5,6,46,35.6551724137931,2.2947715427457758,535.9329720693571,1671.1095543159015,1,0,0,0,True,2.2737367544323206e-13,0,True,True
36,9,0.5,mission-aligned,220,29,1,96.66666666666667,100,52.24913494809689,16,14,13,392,20,184,31,55,2,199,15,13,86.66666666666667,7.5376884422110555,2.5384615384615383,32.76923076923077,3494.7832458140083,5242.174868721012,1747.3916229070041,0.28107021688648426,0.20606060606060606,33.70396338431064,9,1.2,0.08571428571428572,2,441,394,94.88888888888889,0.10657596371882086,0.5058681486195747,4,5,6,46,35.6551724137931,2.2947715427457758,535.9329720693571,1671.1095543159015,1,0,0,0,True,2.2737367544323206e-13,9.094947017729282e-13,True,True
37,10,0,mission-aligned,306,29,1,96.66666666666667,100,69.78085351787774,20,10,10,311,15,184,30,52,1,195,11,10,90.9090909090909,5.641025641025641,3,31.4,3591.6360409131416,3591.6360409131416,0,0.1741911778952765,0.18974358974358974,31.35758513386926,15,2,0.14285714285714285,0,449,404,96.66666666666667,0.10022271714922049,0.5044125808080315,6,5,4,47,32.96551724137931,2.2111696018475913,713.3150402900218,1550.5429483932517,1,0,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
38,10,0.1,mission-aligned,306,29,1,96.66666666666667,100,69.78085351787774,20,10,10,311,15,184,30,52,1,195,11,10,90.9090909090909,5.641025641025641,3,31.4,3591.6360409131416,3950.799645004456,359.16360409131437,0.17419117789527627,0.18974358974358974,31.357585133869257,15,2,0.14285714285714285,0,449,404,96.66666666666667,0.10022271714922049,0.5044125808080315,6,5,4,47,32.96551724137931,2.2111696018475913,713.3150402900218,1550.5429483932517,1,0,0,0,True,4.547473508864641e-13,0,True,True
39,10,0.25,mission-aligned,306,29,1,96.66666666666667,100,69.78085351787774,20,10,10,311,15,184,30,52,1,195,11,10,90.9090909090909,5.641025641025641,3,31.4,3591.6360409131416,4489.5450511414265,897.9090102282855,0.17419117789527627,0.18974358974358974,31.35758513386926,15,2,0.14285714285714285,0,449,404,96.66666666666667,0.10022271714922049,0.5044125808080315,6,5,4,47,32.96551724137931,2.2111696018475913,713.3150402900218,1550.5429483932517,1,0,0,0,True,4.547473508864641e-13,9.094947017729282e-13,True,True
40,10,0.5,mission-aligned,306,29,1,96.66666666666667,100,69.78085351787774,20,10,10,311,15,184,30,52,1,195,11,10,90.9090909090909,5.641025641025641,3,31.4,3591.6360409131416,5387.454061369713,1795.8180204565708,0.1741911778952765,0.18974358974358974,31.357585133869264,15,2,0.14285714285714285,0,449,404,96.66666666666667,0.10022271714922049,0.5044125808080315,6,5,4,47,32.96551724137931,2.2111696018475913,713.3150402900218,1550.5429483932517,1,0,0,0,True,4.547473508864641e-13,9.094947017729282e-13,True,True
