Run,Seed,Reward Regime,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Contested Auction Rounds,Unresolved Auction Rounds,Contracts Awarded,Contract Memberships,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Tasks Completed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Size,Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Current Links,Mean Network Degree,Network Density,Isolated Robots,Information Transmissions,Unique Information Acquisitions,Information Coverage (%),Information Redundancy,Mean Reputation,Competitive Robots,Cooperative Robots,Balanced Robots,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
31,8,contribution-based,270,27,3,90,96.42857142857143,60.70742022299116,16,14,13,1372,136,455,31,65,4,472,17,13,76.47058823529412,3.6016949152542375,3,48.69230769230769,3254.509928358275,3254.509928358275,0,0.3328674496545181,0.2810256410256411,38.65973083843728,9,1.2,0.08571428571428572,6,424,386,93.11111111111111,0.08962264150943396,0.5030216634547539,6,2,7,59,84.14814814814815,1.1319419549002134,641.1561988398748,1631.3194612167624,2,1,0,0,True,0,4.547473508864641e-13,True,True
32,8,mission-aligned,278,28,2,93.33333333333333,93.33333333333333,63.283352556708955,16,14,12,2307,238,778,33,66,5,795,17,12,70.58823529411765,2.138364779874214,2.9166666666666665,58,3362.418599517019,4203.023249396274,840.6046498792548,0.32582694377331856,0.3313131313131312,40.273893406111746,9,1.2,0.08571428571428572,5,443,413,100,0.06772009029345373,0.5005567828614611,7,5,3,46,126.78571428571429,0.8068729289609737,647.2219736593128,1625.2536863973246,0,2,0,0,True,1.1368683772161603e-12,9.094947017729282e-13,True,True
33,9,leader-priority,245,29,1,96.66666666666667,100,57.51633986928105,16,14,14,1412,138,426,36,71,7,447,21,14,66.66666666666667,4.697986577181208,2.7142857142857144,51.142857142857146,3555.042195112338,3555.042195112338,0,0.3274664453971152,0.2760563380281691,38.31435954652544,12,1.6,0.11428571428571428,4,458,401,95.77777777777777,0.12445414847161572,0.5015486283727483,4,7,4,48,80.13793103448276,1.247345153609706,583.0869906171216,1623.9555357681384,1,0,0,0,True,6.821210263296962e-13,9.094947017729282e-13,True,True
34,9,equal-share,220,29,1,96.66666666666667,100,52.24913494809689,16,14,13,392,20,184,31,55,2,199,15,13,86.66666666666667,7.5376884422110555,2.5384615384615383,32.76923076923077,3494.7832458140083,3494.7832458140083,0,0.2810702168864847,0.20606060606060606,33.703963384310626,9,1.2,0.08571428571428572,2,441,394,94.88888888888889,0.10657596371882086,0.5058681486195747,4,5,6,46,35.6551724137931,2.2947715427457758,535.9329720693571,1671.1095543159015,1,0,0,0,True,2.2737367544323206e-13,4.547473508864641e-13,True,True
35,9,contribution-based,216,30,0,100,100,51.51864667435602,16,14,14,840,47,351,37,69,7,371,20,14,70,5.390835579514825,2.5714285714285716,50.5,3673.037061987956,3673.0370619879554,0,0.3034718350321097,0.2028985507246377,34.54468350160727,9,1.2,0.08571428571428572,4,459,404,97.11111111111111,0.11982570806100218,0.5027242725915861,5,6,4,47,55.9,1.7140247491600855,520.9311705025467,1686.1113558827126,0,0,0,0,True,4.547473508864641e-13,0,True,True
36,9,mission-aligned,220,29,1,96.66666666666667,100,52.24913494809689,16,14,13,392,20,184,31,55,2,199,15,13,86.66666666666667,7.5376884422110555,2.5384615384615383,32.76923076923077,3494.7832458140083,4368.47905726751,873.6958114535021,0.2810702168864845,0.20606060606060606,33.703963384310626,9,1.2,0.08571428571428572,2,441,394,94.88888888888889,0.10657596371882086,0.5058681486195747,4,5,6,46,35.6551724137931,2.2947715427457758,535.9329720693571,1671.1095543159015,1,0,0,0,True,2.2737367544323206e-13,0,True,True
37,10,leader-priority,275,28,2,93.33333333333333,96.55172413793103,63.55247981545559,20,10,9,2213,178,503,30,52,2,514,11,9,81.81818181818181,2.140077821011673,3,52,3520.9046047675356,3520.9046047675356,0,0.2886988276555553,0.24102564102564106,34.92628429331959,7,0.9333333333333333,0.06666666666666667,7,430,403,96.22222222222223,0.06279069767441861,0.5037275169795373,7,2,6,39,112.82142857142857,0.9359177491059701,629.9808024058299,1633.877186277443,1,1,0,0,True,9.094947017729282e-13,9.094947017729282e-13,True,True
38,10,equal-share,306,29,1,96.66666666666667,100,69.78085351787774,20,10,10,311,15,184,30,52,1,195,11,10,90.9090909090909,5.641025641025641,3,31.4,3591.6360409131416,3591.6360409131416,0,0.1741911778952765,0.18974358974358974,31.35758513386926,15,2,0.14285714285714285,0,449,404,96.66666666666667,0.10022271714922049,0.5044125808080315,6,5,4,47,32.96551724137931,2.2111696018475913,713.3150402900218,1550.5429483932517,1,0,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
39,10,contribution-based,309,29,1,96.66666666666667,96.66666666666667,67.66628219915417,20,10,9,1395,135,281,34,62,5,295,14,9,64.28571428571429,4.745762711864407,3,53.55555555555556,3619.8366901136965,3619.8366901136965,0,0.20006336164470118,0.2924731182795699,30.026390442235353,3,0.4,0.02857142857142857,10,430,401,96.44444444444444,0.06744186046511629,0.501295975324259,7,4,4,46,73.27586206896552,1.293623251819515,702.2155430665778,1561.6424456166947,0,1,0,0,True,6.821210263296962e-13,4.547473508864641e-13,True,True
40,10,mission-aligned,306,29,1,96.66666666666667,100,69.78085351787774,20,10,10,311,15,184,30,52,1,195,11,10,90.9090909090909,5.641025641025641,3,31.4,3591.6360409131416,4489.5450511414265,897.9090102282855,0.17419117789527627,0.18974358974358974,31.35758513386926,15,2,0.14285714285714285,0,449,404,96.66666666666667,0.10022271714922049,0.5044125808080315,6,5,4,47,32.96551724137931,2.2111696018475913,713.3150402900218,1550.5429483932517,1,0,0,0,True,4.547473508864641e-13,9.094947017729282e-13,True,True
