Experiment,Experiment Name,Condition,Run,Seed,Factor 1,Factor 1 Level,Factor 2,Factor 2 Level,Ticks,Completed Tasks,Failed Tasks,Completion Rate (%),Discovered Completion (%),Explored Area (%),Individual Tasks,Cooperative Tasks,Completed Cooperative Tasks,Total Bids,Unresolved Auction Rounds,Contracts Awarded,Contract Releases,Coalition Attempts,Coalitions Formed,Coalition Success (%),Coalition Formation Efficiency (%),Mean Coalition Delay,Task Value,Rewards Distributed,Mission Bonuses,Reward Gini,Contract Gini,Top 20% Reward Share (%),Information Coverage (%),Mean Reputation,Strategy Switches,Coordination Overhead,Mission Efficiency,Energy Used,Energy Remaining,Failed — Undiscovered,Failed — Auction/No Feasible,Failed — Deadline After Assignment,Failed — Other,Task State Pass,Energy Error,Reward Error,Reputation Bounds Pass,Strategy Validity Pass
BS02,Reward Regime Comparison,mission-aligned,8,2,Reward Regime,mission-aligned,,,279,29,1,96.66666666666667,100.0,64.78277585544022,16,14,13,1086,254,33,4,271,17,76.47058823529412,6.273062730627307,37.46153846153846,3666.2559839416103,4582.819979927014,916.5639959854026,0.16999843803734715,0.15268817204301066,27.9682197190448,96.66666666666667,0.5023063808919619,42,62.172413793103445,1.5163894873296886,655.7534957709087,1668.6857792386324,1,0,0,0,True,1.8189894035458565e-12,9.094947017729282e-13,True,True
BS02,Reward Regime Comparison,leader-priority,9,3,Reward Regime,leader-priority,,,268,29,1,96.66666666666667,96.66666666666667,61.476355247981544,21,9,8,1973,472,32,3,482,10,80.0,2.074688796680498,47.375,3253.853389025939,3253.853389025939,0.0,0.27419453533328775,0.2897435897435898,31.801501690248465,99.55555555555556,0.5044526393373185,57,99.86206896551724,0.9318672788753137,616.7562433923742,1619.8078961558122,0,1,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
BS02,Reward Regime Comparison,equal-share,10,3,Reward Regime,equal-share,,,195,29,1,96.66666666666667,96.66666666666667,48.67358708189158,21,9,8,1173,320,32,3,331,11,72.72727272727273,3.323262839879154,55.625,3243.371439637589,3243.371439637589,0.0,0.27502908526373315,0.2962962962962963,33.660561417234376,97.11111111111111,0.5042978545820286,42,66.65517241379311,1.3787852264205465,443.3398550314323,1793.2242845167546,0,1,0,0,True,6.821210263296962e-13,9.094947017729282e-13,True,True
BS02,Reward Regime Comparison,contribution-based,11,3,Reward Regime,contribution-based,,,295,27,3,90.0,96.42857142857143,64.32141484044598,21,9,8,904,313,29,2,323,10,80.0,3.0959752321981426,48.25,3050.1901564703376,3050.1901564703376,0.0,0.29912447023755107,0.3074829931972789,35.8809850467202,91.77777777777777,0.5038170257098742,54,60.592592592592595,1.3396709248152152,667.8204489405183,1568.7436906076687,2,1,0,0,True,6.821210263296962e-13,4.547473508864641e-13,True,True
BS02,Reward Regime Comparison,mission-aligned,12,3,Reward Regime,mission-aligned,,,197,28,2,93.33333333333333,96.55172413793103,48.212226066897344,21,9,8,1313,317,28,0,325,8,100.0,2.4615384615384617,43.25,3158.352393391533,3947.940491739416,789.5880983478833,0.2985146241591341,0.3007751937984495,34.292043454163334,96.22222222222223,0.5082601616063032,39,73.35714285714286,1.2673036403107114,454.18284626499087,1782.3812932831959,1,1,0,0,True,6.821210263296962e-13,4.547473508864641e-13,True,True
BS02,Reward Regime Comparison,leader-priority,13,4,Reward Regime,leader-priority,,,303,26,4,86.66666666666667,89.65517241379311,70.43444828911957,14,16,13,2535,673,26,0,686,13,100.0,1.8950437317784257,20.923076923076923,3477.7299716011594,3477.7299716011594,0.0,0.38150419332121444,0.2693333333333334,41.767966386575324,96.66666666666667,0.5056108217595074,81,140.23076923076923,0.8020087932008683,711.2741170471671,1495.3324233244884,1,3,0,0,True,9.094947017729282e-13,0.0,True,True
BS02,Reward Regime Comparison,equal-share,14,4,Reward Regime,equal-share,,,303,25,5,83.33333333333333,83.33333333333333,69.66551326412917,14,16,11,2977,610,26,1,622,12,91.66666666666667,1.9292604501607717,30.454545454545453,3303.4007101732177,3303.4007101732177,0.0,0.39945183711335,0.3159420289855073,44.584080260815306,98.88888888888889,0.5041128525086642,74,161.28,0.6991718817107189,712.733354680293,1493.873185691364,0,5,0,0,True,9.094947017729282e-13,1.3642420526593924e-12,True,True
BS02,Reward Regime Comparison,contribution-based,15,4,Reward Regime,contribution-based,,,303,24,6,80.0,80.0,68.93502499038831,14,16,11,3071,541,24,0,552,11,100.0,1.9927536231884058,23.454545454545453,3163.843746085221,3163.8437460852215,0.0,0.26202312388993065,0.1968253968253968,35.3756148939342,100.0,0.5046169194693717,60,169.45833333333334,0.6655626061468322,715.6380753146364,1490.9684650570198,0,6,0,0,True,4.547473508864641e-13,4.547473508864641e-13,True,True
BS02,Reward Regime Comparison,mission-aligned,16,4,Reward Regime,mission-aligned,,,300,26,4,86.66666666666667,86.66666666666667,70.43444828911957,14,16,12,3068,619,27,1,632,13,92.3076923076923,2.0569620253164556,55.583333333333336,3467.357973265034,4334.197466581292,866.8394933162583,0.3372642894425619,0.2639455782312925,38.898371798107945,100.0,0.505170551421261,56,160.15384615384616,0.7189311065785525,704.9349676722886,1501.6715726993684,0,4,0,0,True,4.547473508864641e-13,0.0,True,True
BS02,Reward Regime Comparison,leader-priority,17,5,Reward Regime,leader-priority,,,268,26,4,86.66666666666667,92.85714285714286,57.8239138792772,16,14,11,1322,695,31,5,710,15,73.33333333333333,2.112676056338028,66.18181818181819,3263.946442986989,3263.946442986989,0.0,0.32002943279745,0.21420765027322397,36.104493814850294,90.0,0.5041232223486151,71,93.5,1.081780752813151,606.197740391624,1662.0428991715212,2,2,0,0,True,6.821210263296962e-13,9.094947017729282e-13,True,True
