"BehaviorSpace results (NetLogo 7.0.4)","Spreadsheet version 2.0"
"MOSAIC_v0_3_integrated_final_Subm_ready.nlogo.nlogox"
"BS01_Baseline_Replication_30_Seeds"
"07/20/2026 19:48:48:647 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"strategy-learning-rate","0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",
"strategy-exploration-rate","0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",,"0.1",
"strategy-update-interval","20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",
"initial-strategy","mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",,"mixed",
"show-robot-labels?","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"show-task-labels?","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"[total steps]","184","184","279","279","195","195","303","303","262","262","247","247","195","195","254","254","220","220","306","306","309","309","315","315","289","289","216","216","340","340","263","263","222","222","265","265","267","267","292","292","229","229","223","223","303","303","260","260","269","269","274","274","245","245","242","242","238","238","288","288"

"[final value]","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles","[step]","count turtles"
,"184","45","279","45","195","45","303","45","262","45","247","45","195","45","254","45","220","45","306","45","309","45","315","45","289","45","216","45","340","45","263","45","222","45","265","45","267","45","292","45","229","45","223","45","303","45","260","45","269","45","274","45","245","45","242","45","238","45","288","45"
